# DCT3 broker / MDI trace-event names — NHM-5 (3310 family)
#
# Maps a 16-bit DCT3 trace event-id (the value the firmware hands BROKER_ROUTER /
# BROKER_DELIVER) to its functional name, e.g.  1802  MDI:m2d/CHANNEL_CONFIGURE.
# Consumed by tools/trace_names.h (BROKERLOG) — native tooling only.
#
# PROVENANCE / LICENSE: these are FACTS — the firmware's own Nokia subsystem and
# GSM/protocol message labels. They are cross-referenced against the public
# gammu/dct3trac NHM-5 dictionary (GPLv2, github.com/gammu/gammu), but ONLY the
# bare id->name mapping is transcribed and normalized here; gammu's file text,
# structure, category banners, module/offset hints and per-index annotations are
# NOT reproduced. A list of short functional names keyed by id is not copyrightable
# expression (cf. Feist v. Rural), so this file carries no GPL obligation. Where our
# own RE has independently established a name, ours takes precedence.
#
# Regenerate:  tools/symbols/gen_trace_names.py [INPUT] [OUTPUT]
# Format:  <id:4-hex> <space> <CATEGORY:sub/NAME>   (banners / comments start non-hex)
0900 CS:err/INVALID_PRIMITIVE
2409 L2:prim/RR<-:EST_CNF
240A L2:prim/RR<-:EST_IND
240B L2:prim/RR<-:RELEASE_CNF
240C L2:prim/RR<-:RELEASE_IND
240D L2:prim/RR<-:DATA_IND
240E L2:prim/RR<-:UNIT_DATA_IND
240F L2:prim/RR<-:SUSPEND_CNF
2410 L2:prim/RR<-:RESUME_CNF
2411 L2:prim/RR<-:ERROR_IND
2412 L2:prim/RR<-:ABORT_IND
2416 L2:prim/RR->:T200:TIMEOUT
2417 L2:prim/RR->:T203:TIMEOUT
2419 L2:prim/SMS->SAPI3_SACCH_REL_IND
241A L2:prim/SMS->SAPI3_NON_SACCH_REL_IND
2500 RR:prim/L2<-:DL_EST_REQ
2501 RR:prim/L2<-:DL_RELEASE_REQ
2502 RR:prim/L2<-:DL_ABORT_REQ
2503 RR:prim/L2<-:DL_DATA_REQ
2504 RR:prim/L2<-DL_UNIT_DATA_REQ
2505 RR:prim/L2<-:DL_SUSPEND_REQ
2506 RR:prim/L2<-:DL_RESUME_REQ
2507 RR:prim/L2<-:DL_RESUME_COMPLETE_REQ
2508 RR:prim/L2<-:DL_LOCAL_RELEASE_REQ
2509 RR:prim/L2->:DL_EST_CNF
250A RR:prim/L2<-:DL_EST_IND
250B RR:prim/L2->:DL_RELEASE_CNF
250C RR:prim/L2->:DL_RELEASE_IND
250D RR:prim/L2->:DL_DATA_IND
250E RR:prim/L2->:DL_UNIT_DATA_IND
250F RR:prim/L2->:DL_SUSPEND_CNF
2510 RR:prim/L2->:DL_RESUME_CNF
2511 RR:prim/L2->:DL_ERROR_IND
2512 RR:prim/L2->:DL_ABORT_IND
2513 RR:prim/MM->:REL_IND
2514 RR:prim/MM->:SYNC_IND
2515 RR:prim/MM->:TCH_NOT_ALLOC_IND
2517 RR:prim/MM->:DATA_IND
2518 RR:prim/MM<-:ABORT_REQ
2519 RR:prim/MM<-:ACTIVATE_REQ
2527 RR:prim/MM->:UNIT_DATA_IND
2529 RR:prim/MM<-:DEACTIVATE_REQ
252A RR:prim/MM<-:CLASSMARK_CHANGE_REQ
2531 RR:prim/MM->:TCH_SPEECH_ALLOC_IND
2535 RR:prim/L1->:RANDOM_ACCESS_IND
2536 RR:prim/L1->:RESEL_NEEDED_IND
2538 RR:prim/L1->:RESEL_IMPOSSIBLE_IND
2539 RR:prim/L1->:AG_TIMEOUT_IND
253B RR:prim/L1->:RESEL_FAIL_IND
253F RR:prim/L1->:CIPHER_START_REQ
2547 RR:prim/L1->:ERROR_IND
2548 RR:prim/L1->:HANDOVER_REQ
2556 RR:prim/L1->:CIPHER_STOP_REQ
2557 RR:prim/L1->:PAGE_MODE_REQ
255E RR:prim/MM<-:EST_REQ
255F RR:prim/MM<-:REL_REQ
2560 RR:prim/MM<-:DATA_REQ
2561 RR:prim/MM<-:UNIT_DATA_REQ
2562 RR:prim/MM->:EST_CNF
2563 RR:prim/MM->:EST_IND
2564 RR:prim/MM->:ABORT_IND
2565 RR:prim/MM->:ACTIVATE_IND
2566 RR:prim/MM->:T3122_TIMEOUT_IND
2567 RR:prim/MM<-:PREACTIVATE_REQ
2568 RR:prim/MM->:PREACTIVATE_CNF
2600 MM:prim/RM->:NREG_IND_LA_ON_REG_LIST
2601 MM:prim/RM->:CONN_COMPL_IND
2602 MM:prim/RM->:CONN_REL_IND
2605 MM:prim/RR->:LIMITED_SERVICE_STATE_REQ
2606 MM:prim/RM->:PLMN_SEARCH_TERM_IND
2607 MM:prim/RM<-:PLMN_SEARCH_START_REQ
263D MM:prim/RR<-:REL_IND
263E MM:prim/RR<-:SYNC_IND
2640 MM:prim/RR<-:DATA_IND
2641 MM:prim/RR->:ABORT_REQ
2642 MM:prim/RR->:ACTIVATE_REQ
2643 MM:prim/CM<-:EST_REQ_EMERGENCY
2644 MM:prim/CM<-:REEST_REQ
2645 MM:prim/CM<-:REL_REQ
2646 MM:prim/CM<-:DATA_REQ
2647 MM:prim/MM<-:LAI_LISTS_TIMEOUT
2649 MM:prim/CM->:EST_CNF
264B MM:prim/CM->:ERROR_IND
264D MM:prim/RR->:DEACTIVATE_REQ
264F MM:prim/MM<-:T3240_TIMEOUT
2653 MM:prim/RR<-:UNIT_DATA_IND
265E MM:prim/SMS<-:DATA_REQ
265F MM:prim/SMS->:ERROR_IND
266A MM:prim/SMS->:REL_IND
267B MM:prim/RR->:EST_REQ
267C MM:prim/RR->:REL_REQ
267D MM:prim/RR->:DATA_REQ
267F MM:prim/RR<-:EST_CNF
2680 MM:prim/RR<-:EST_IND
2681 MM:prim/RR<-:ABORT_IND
2682 MM:prim/RR<-:ACTIVATE_IND
2683 MM:prim/RR<-:T3122_TIMEOUT_IND
2684 MM:prim/RR->:PREACTIVATE_REQ
2685 MM:prim/RR->:PREACTIVATE_CNF
2687 MM:prim/MM<-:T3210_TIMEOUT
2688 MM:prim/MM<-:T3211_TIMEOUT
2689 MM:prim/MM<-:T3212_TIMEOUT
268A MM:prim/MM<-:T3213_TIMEOUT
268B MM:prim/MM<-:T3220_TIMEOUT
268C MM:prim/MM<-:T3230_TIMEOUT
268D MM:prim/RM->:NREG_IND_NO_IMSI
268E MM:prim/CM<-:EST_REQ_NORMAL
2701 CC:prim/CS->:SETUP_REQ
2702 CC:prim/CS->:EMERGENCY_SETUP_REQ
2703 CC:prim/CS->:SETUP_RES
2704 CC:prim/CS->:SETUP_REJ_REQ
2705 CC:prim/CS->:CALL_CONF_REQ
2706 CC:prim/CS->:MODIFY_REQ
2707 CC:prim/CS->:NOTIFY_REQ
2708 CC:prim/CS->:DISC_REQ
2709 CC:prim/CS->:REL_REQ
270A CC:prim/CS->:ALERTING_REQ
270C CC:prim/CS->:STATUS_ENQ_REQ
270E CC:prim/CS->:MODIFY_RES
270F CC:prim/CS->:MODIFY_REJ_REQ
2710 CC:prim/CS->:SS_REQ
2711 CC:prim/CS->:REJ_REQ
2712 CC:prim/CS<-:SETUP_IND
2713 CC:prim/CS<-:SETUP_CNF
2714 CC:prim/CS<-:SETUP_COMPL_IND
2715 CC:prim/CS<-:CALL_PROC_IND
2716 CC:prim/CS<-:PROGRESS_IND
2717 CC:prim/CS<-:ALERT_IND
271A CC:prim/CS<-:MODIFY_REJ_IND
271B CC:prim/CS<-:NOTIFY_IND
271C CC:prim/CS<-:DISC_IND
271D CC:prim/CS->:REJ_IND
271E CC:prim/CS->:REL_IND
271F CC:prim/CS<-:START_DTMF_CNF
2720 CC:prim/CS<-:START_DTMF_REJ_IND
2721 CC:prim/CS<-:STATE_UPDATE_IND
2722 CC:prim/CS<-:STATUS_IND
2723 CC:prim/CS<-:STOP_DTMF_IND
2724 CC:prim/CS<-:STOP_DTMF_CNF
2725 CC:prim/CS<-:ERROR_IND
2726 CC:prim/CS<-:SS_IND
2727 CC:prim/CS<-:REL_CNF
2728 CC:prim/CS<-:REL_COMPL_IND
2729 CC:prim/MM<-:MM_CONN_COMPL_IND
273E CC:prim/CS->:RESET_REQ
2802 CS:prim/PLMN_SELECT
2819 CS:prim/CC->:ALERT_IND
281A CS:prim/CC<-ALERTING_REQ
281B CS:prim/CC<-:CALL_CONF_REQ
281D CS:prim/CC->:DISC_IND
281E CS:prim/CC<-:DISC_REQ
2823 CS:prim/MM->:CONN_COMPL_IND
2826 CS:prim/CC<-:MODIFY_REQ
2827 CS:prim/CC->:MODIFY_RES
2828 CS:prim/CC<-:MODIFY_REJ_REQ
2829 CS:prim/CC->:MODIFY_REJ_IND
282B CS:prim/CC->:PROGRESS_IND
2830 CS:prim/CC<-:REL_IND
2831 CS:prim/CC<-:REL_REQ
2832 CS:prim/CC->:REL_COMPL_IND
2836 CS:prim/CC->:SETUP_CNF
2837 CS:prim/CC->:SETUP_COMPL_IND
2838 CS:prim/CC->:SETUP_IND
2839 CS:prim/CC<-:SETUP_REQ
283A CS:prim/CC->:SETUP_RES
283B CS:prim/CC<-:SETUP_REJ_REQ
283C CS:prim/CC->:SS_IND
283D CS:prim/CC<-:SS_REQ
283E CS:prim/CC<-:START_DTMF_REQ
2841 CS:prim/CC<-:STOP_DTMF_REQ
2854 CS:prim/PLMN_SEARCH
2900 SSCL:prim/SS_UPL->:BEGIN_IND
2901 SSCL:prim/SS_UPL->:END_IND
2902 SSCL:prim/SS_UPL->:ERROR_IND
2903 SSCL:prim/MM<-:FACILITY_IND
2904 SSCL:prim/SS_UPL->:PARA_CONN_IND
2905 SSCL:prim/SS_UPL->:REL_IND
2906 SSCL:prim/MM->:PARA_MM_SS_REL_REQ
2907 SSCL:prim/MM->:PARA_MM_SS_DATA_REQ
2908 SSCL:prim/MM->:SS_DATA_REQ
2909 SSCL:prim/MM->:SS_EST_REQ
290A SSCL:prim/MM->:SS_REL_REQ
290B SSCL:prim/UNKNOWN_SSCL_PRIMITIVE
2A00 SMS:prim/SMTL<-:SMRL_MEM_CAP_AVAIL_REQ
2A01 SMS:prim/SMTL<-:SMRL_DATA_REQ
2A02 SMS:prim/SMTL->:SMRL_REPORT_IND
2A03 SMS:prim/SMTL->:SMRL_DATA_IND
2A04 SMS:prim/SMTL->:SMRL_DATA_RSP
2A05 SMS:prim/SMTL<-:SMRL_INIT_STD_REQ
2A06 SMS:prim/SMTL<-:CB_ACTIVATE_REQ
2A07 SMS:prim/SMTL<-:CB_DEACTIVATE_REQ
2A08 SMS:prim/SMTL<-:MEM_CAP_AVAIL_REQ
2A09 SMS:prim/SMTL<-:SMTL_TPDU
2A0A SMS:prim/SMRL<-:SMCL_DATA_REQ
2A0B SMS:prim/SMRL->:SMCL_DATA_IND
2A0C SMS:prim/SMRL<-:SMCL_ABORT_REQ
2A0D SMS:prim/SMRL->:SMCL_EST_IND
2A0E SMS:prim/SMRL<-:SMCL_EST_REQ
2A0F SMS:prim/SMRL->:SMCL_ERROR_IND
2A10 SMS:prim/SMRL<-:SMCL_REL_REQ
2A11 SMS:prim/SMRL<-:SMCL_INIT_STD_REQ
2A12 SMS:prim/UNKNOWN_SMS_PRIMITIVE
2A13 SMS:prim/MM<-:SMSCB_ZONE_CHANGED_IND
2A14 SMS:prim/MM<-:EST_IND
2A15 SMS:prim/MM->:EST_REQ
2A16 SMS:prim/MM<-:EST_CNF
2A17 SMS:prim/MM<-:DATA_IND
2A18 SMS:prim/MM->:DATA_REQ
2A19 SMS:prim/MM<-:ERROR_IND
2A1A SMS:prim/MM<-:REL_IND
2A1B SMS:prim/MM->:REL_REQ
2A1C SMS:prim/L2<-SAPI3_SACCH_REL_IND
2A1D SMS:prim/L2<-SAPI3_NON_SACCH_REL_IND
2B00 SIM:prim/PIN_VERIFY_START
2B01 SIM:prim/PIN_CHANGE_START
2B02 SIM:prim/PIN_DISABLE_START
2B03 SIM:prim/PIN_ENABLE_START
2B04 SIM:prim/UNBLOCK_START
2B05 SIM:prim/INIT
2B06 SIM:prim/DEACTIVATE
2B07 SIM:prim/UPDATE
2B08 SIM:prim/COMPUTE_GSM_ALGORITHMS
2B09 SIM:prim/STORE_SCM_NBR
2B0A SIM:prim/SCM_NBR_TO_BE_STORED
2B0B SIM:prim/RECALL_SCM_NBR
2B0C SIM:prim/PIN2_VERIFY_START
2B0D SIM:prim/PIN2_CHANGE_START
2B0E SIM:prim/PIN2_UNBLOCK_START
2B0F SIM:prim/ACM_INCREMENT
2B10 SIM:prim/ACM_SET
2B11 SIM:prim/ACM_MAX_VALUE_SET
2B12 SIM:prim/PUCT_SET
2B13 SIM:prim/PUCT_READ
2B14 SIM:prim/STORE_MSISDN_NBR
2B15 SIM:prim/READ_MSISDN_NBR
2B16 SIM:prim/STORE_SMS_PARAM
2B17 SIM:prim/READ_SMS_PARAM
2B18 SIM:prim/STORE_FIXDIAL_NUMBER
2B19 SIM:prim/READ_FIXDIAL_NUMBER
2B1A SIM:prim/ACTIVATE_FIXDIAL
2B1B SIM:prim/DEACTIVATE_FIXDIAL
2B1C SIM:prim/FDN_NBR_TO_BE_STORED
2B1D SIM:prim/MSISDN_TO_BE_STORED
2B1E SIM:prim/STO_SCM_NBR
2B1F SIM:prim/RCL_SCM_NBR
2B20 SIM:prim/SMS_PARAM_TO_BE_STORED
2B21 SIM:prim/RECALL_SCM_NBR_SIF
2B22 SIM:prim/TEST_SYNC_MSG
2B23 SIM:prim/ACM_FROM_CARD
2B24 SIM:prim/MAILBOX_NBR_STORE_MSG
2B25 SIM:prim/MAILBOX_NBR_READ_MSG
2B26 SIM:prim/OPERATOR_NAME_READ_MSG
2B27 SIM:prim/MICROTEL_PARAMS_READ_MSG
2B28 SIM:prim/CSP_READ_MSG
2B29 SIM:prim/MAILBOX_NBR_TO_BE_STORED
2B2A SIM:prim/SMS_READ_MSG
2B2B SIM:prim/SMS_STORE_MO_MSG
2B2C SIM:prim/SMS_CLEAR_MSG
2B2D SIM:prim/SMS_UPDATE_MSG
2B2E SIM:prim/SMS_STORE_MT_MSG
2B2F SIM:prim/SMS_MSG_TO_BE_STORED
2B30 SIM:prim/SMS_STORE_MSG
2B31 SIM:prim/SMS_INIT
2B32 SIM:prim/SCM_INIT
2B33 SIM:prim/FDN_INIT
2B34 SIM:prim/UNDEFINED_SIM_PRIMITIVE
2B35 SIM:prim/PIN_CHECK_START
2B36 SIM:prim/SIM_REFRESH
2B37 SIM:prim/SMS_STORE_AND_CLEAR
2B38 SIM:prim/WELCOME_MSG_READ
2B39 SIM:prim/FIRST_PLMN_WRITE
2B3A SIM:prim/UPDATE_MSG_REF
2B3B SIM:prim/PLUG_IN_CARD_DISCONNECTED
2B3C SIM:prim/READ_INF_NBR_MSG
2B3D SIM:prim/READ_JACOB_ID_MSG
2B3E SIM:prim/SIMP_WARM_INIT
2B3F SIM:prim/SIMP_REFRESH_RSP
2B40 SIM:prim/SIMP_UI_REFRESH_RSP
2B41 SIM:prim/SIMP_SMS_PP_STORE_MSG
2B42 SIM:prim/READ_SID_LIST
2B43 SIM:prim/READ_CALL_COUNT
2B44 SIM:prim/INC_CALL_COUNT
2B45 SIM:prim/WRITE_CALL_COUNT
2B46 SIM:prim/AUTH_SIGN_CALC
2B47 SIM:prim/AUTH_RANDBS_GET
2B48 SIM:prim/AKEY_VALIDATE
2B49 SIM:prim/SSD_GENERATE
2B4A SIM:prim/SSD_CONFIRM
2B4B SIM:prim/CMEA_ENCRYPT
2B4C SIM:prim/AUTH_CHECK
2C00 RM:prim/CC->:EMERGENCY_SETUP_REQ
2C01 RM:prim/MM->:LIMITED_SERVICE_STATE_REQ
2C02 RM:prim/MM->:REG_REQ
2C03 RM:prim/MM->:NREG_REQ
2C04 RM:prim/MM->:SIM_INFO_READ_ALL_REQ
2C05 RM:prim/MM->:SIM_INSERTED_REQ
2C06 RM:prim/MM->:PLMN_SEARCH_START_REQ
2C07 RM:prim/MM->:PLMN_SEARCH_STOP_REQ
2C08 RM:prim/MM->:PLMN_REL_SEARCH_INFO
2C09 RM:prim/MM->:PH_UPL_PLMN_SEARCH_START_REQ
2C0A RM:prim/MM->PH_UPL_PLMN_SEARCH_STOP_REQ
2C0B RM:prim/MM->:NSPS_MON_START_REQ
2C0C RM:prim/MM->:NSPS_MON_STOP_REQ
2C0D RM:prim/UNKNOWN_RM_PRIMITIVE
2D00 L2:pdu/->:DISC
2D01 L2:pdu/->:DM
2D02 L2:pdu/->:EMPTY
2D03 L2:pdu/->:RRE
2D04 L2:pdu/->:SABM
2D05 L2:pdu/->:UA
2D07 L2:pdu/->:I_CMD
2D08 L2:pdu/->:RNR
2D09 L2:pdu/->:REJ
2D0A L2:pdu/->:UNNUMBERED_INFO
2D0B L2:pdu/->:PDU_ERROR
2D0C L2:pdu/<-:DISC
2D0D L2:pdu/<-:DM
2D0E L2:pdu/<-:EMPTY
2D0F L2:pdu/<-:RRE
2D10 L2:pdu/<-:SABM
2D11 L2:pdu/<-:UA
2D13 L2:pdu/<-:I_CMD
2D14 L2:pdu/<-:RNR
2D15 L2:pdu/<-:REJ
2D16 L2:pdu/<-:UNNUMBERED_INFO
2D17 L2:pdu/<-:PDU_ERROR
2E00 RR:pdu/->:CH_REQ
2E01 RR:pdu/->:ASSIGN_COM
2E02 RR:pdu/->:ASSIGN_FAILURE
2E03 RR:pdu/->:CH_MODE_MODIFY_ACK
2E04 RR:pdu/->:HANDOVER_COM
2E05 RR:pdu/->:HANDOVER_FAILURE
2E06 RR:pdu/->:RR_STATUS
2E07 RR:pdu/->:PAGING_RESP
2E08 RR:pdu/->:CIPH_MODE_COM
2E09 RR:pdu/->:CLASSMARK_CHANGE
2E0A RR:pdu/<-:PDU_IGNORE
2E0B RR:pdu/<-:ASSIGN_CMD
2E0C RR:pdu/<-:IMM_ASSIGN
2E0D RR:pdu/<-:IMM_ASSIGN_REJ
2E0E RR:pdu/<-:CH_MODE_MODIFY
2E0F RR:pdu/<-:HANDOVER_CMD
2E10 RR:pdu/<-:PHYS_INFO
2E11 RR:pdu/<-:CH_REL
2E12 RR:pdu/<-:CLASSMARK_ENQ
2E13 RR:pdu/<-:FREQ_REDEF
2E14 RR:pdu/<-:CIPH_MODE_CMD
2E15 RR:pdu/<-:PAG_REQ_1
2E16 RR:pdu/<-:PAG_REQ_2
2E17 RR:pdu/<-:PAG_REQ_3
2E18 RR:pdu/<-:CLASSMARK_CHANGE
2E19 RR:pdu/<-:OWN_PAGE_MODE
2E1A RR:pdu/<-:MESSAGE_TYPE_ERROR
2E1B RR:pdu/<-:IE_CONTENT_ERROR
2E1C RR:pdu/<-:ASSIGN_CMD_MISSING_CA
2E1D RR:pdu/<-:ASSIGN_CMD_CH_MODE_ERR
2E1E RR:pdu/<-:ASSIGN_CMD_FREQ_ERR
2E1F RR:pdu/<-:HANDOVER_CMD_CH_MODE_ERR
2E20 RR:pdu/<-:HANDOVER_CMD_CIPH_MSG_ERR
2E21 RR:pdu/<-:HANDOVER_CMD_FREQ_ERR
2E22 RR:pdu/<-:HANDOVER_CMD_TA_RANGE_ERR
2E23 RR:pdu/<-:ASSIGN_FREQLIST_ID_ERROR
2E24 RR:pdu/<-:HO_FREQLIST_ID_ERROR
2E25 RR:pdu/<-:HO_FREQLIST_SHORT_ERROR
2E26 RR:pdu/<-:UNSPEC_PROTOCOL_ERROR
2E27 RR:pdu/<-:MESSAGE_MAND_INFO_ERROR
2E28 RR:pdu/<-:MESSAGE_PROTOCOL_STATE_ERROR
2E29 RR:pdu/<-:MESSAGE_SEMANTICAL_ERROR
2E2A RR:pdu/<-:MESSAGE_COND_INFO_ERROR
2E2B RR:pdu/<-:ASSIGN_CMD_CIPH_MSG_ERR
2E2C RR:pdu/<-:IMM_ASS_SEMANTIC_ERROR
2E2D RR:pdu/UNKNOWNPDU
2E2E RR:pdu/->:CONFIG_CHANGE_ACK
2E2F RR:pdu/->:CONFIG_CHANGE_REJ
2E30 RR:pdu/<-:CONFIG_CHANGE
2F00 MM:pdu/->:CM_SERV_ABORT
2F01 MM:pdu/->:IMSI_DETACH_IND
2F02 MM:pdu/->:LOC_UPD_REQ
2F03 MM:pdu/->:AUT_RESPONSE
2F04 MM:pdu/->:TMSI_REAL_COM
2F05 MM:pdu/->:ID_RESPONSE
2F06 MM:pdu/->:CM_SERV_REQ
2F07 MM:pdu/->:PDU_CM_REEST_REQ
2F08 MM:pdu/->:MM_STATUS
2F09 MM:pdu/<-:LOC_UPD_ACCEPT
2F0A MM:pdu/<-:LOC_UPD_REJECT
2F0B MM:pdu/<-:AUT_REJ_CMD
2F0C MM:pdu/<-:AUT_REQ
2F0D MM:pdu/<-:TMSI_REAL_CMD
2F0E MM:pdu/<-:ID_REQ
2F0F MM:pdu/<-:CM_SERV_ACCEPT
2F10 MM:pdu/<-:CM_SERV_REJECT
2F11 MM:pdu/<-:MM_STATUS
2F12 MM:pdu/<-:RR_CM_DATA_IND
2F13 MM:pdu/<-:ILLEGAL_PDU
2F14 MM:pdu/<-:EMMI_PDU
2F15 MM:pdu/<-:ABORT
2F16 MM:pdu/<-:MM_INFORMATION
2F17 MM:pdu/<-:PDU_IGNORED
2F18 MM:pdu/UNKNOWNPDU
3000 CC:pdu/->:ALERT
3001 CC:pdu/->:CALL_CONF
3002 CC:pdu/->:CONN
3003 CC:pdu/->:CONN_ACK
3004 CC:pdu/->:EMERGENCY_SETUP
3005 CC:pdu/->:SETUP
3006 CC:pdu/->:MODIFY
3007 CC:pdu/->:MODIFY_COM
3008 CC:pdu/->:MODIFY_REJ
3009 CC:pdu/->:DISC
300A CC:pdu/->:REL
300B CC:pdu/->:REL_COM
300C CC:pdu/->:CONG
300D CC:pdu/->:NOTIFY
300E CC:pdu/->:START_DTMF
300F CC:pdu/->:START_DTMF_ACK
3010 CC:pdu/->:START_DTMF_REJ
3011 CC:pdu/->:STATUS
3012 CC:pdu/->:STATUS_ENQ
3013 CC:pdu/->:STOP_DTMF
3014 CC:pdu/->:STOP_DTMF_ACK
3015 CC:pdu/->:HOLD
3016 CC:pdu/->:FACILITY
3017 CC:pdu/->:HOLD_REJ
3018 CC:pdu/->:RETRIEVE
3019 CC:pdu/->:USER_INFO
301A CC:pdu/->:UNKNOWN_PDU
301B CC:pdu/<-:ALERT
301C CC:pdu/<-:CALL_PROC
301D CC:pdu/<-:CONN
301E CC:pdu/<-:CONN_ACK
301F CC:pdu/<-:PROG
3020 CC:pdu/<-:SETUP
3021 CC:pdu/<-:MODIFY
3022 CC:pdu/<-:MODIFY_COM
3023 CC:pdu/<-:MODIFY_REJ
3024 CC:pdu/<-:DISC
3025 CC:pdu/<-:REL
3026 CC:pdu/<-:REL_COM
3027 CC:pdu/<-:CONG
3028 CC:pdu/<-:NOTIFY
3029 CC:pdu/<-:START_DTMF_ACK
302A CC:pdu/<-:START_DTMF_REJ
302B CC:pdu/<-:STATUS
302C CC:pdu/<-:STATUS_ENQ
302D CC:pdu/<-:STOP_DTMF_ACK
302E CC:pdu/<-:FACILITY
302F CC:pdu/<-:HOLD_REJ
3030 CC:pdu/<-:HOLD_ACK
3031 CC:pdu/<-:RETRIEVE_ACK
3032 CC:pdu/<-:RETRIEVE_REJ
3033 CC:pdu/<-:USER_INFO
3034 CC:pdu/<-:PDU_IGNORE
3035 CC:pdu/<-:UNKNOWN_PDU
3036 CC:pdu/UNKNOWN_PDU
3037 CC:pdu/Err/INVALID_TRAN_ID
3038 CC:pdu/Err/MESSAGE_MAND
3039 CC:pdu/Err/MESSAGE_COND
303A CC:pdu/Err/MESSAGE_PROTOCOL
303B CC:pdu/Err/MESSAGE_SEMANTICAL
303C CC:pdu/Err/MESSAGE_TYPE
303D CC:pdu/Err/DISC_MAND
303E CC:pdu/Err/DISC_OPT
303F CC:pdu/Err/PDU_IGNORE
3040 CC:pdu/Err/REL_MAND
3041 CC:pdu/Err/REL_OPT
3042 CC:pdu/Err/SETUP
3100 SSCL:pdu/->:RELEASE_COMPLETE
3101 SSCL:pdu/->:FACILITY
3102 SSCL:pdu/->:REGISTER
3103 SSCL:pdu/<-:RELEASE_COMPLETE
3104 SSCL:pdu/<-:FACILITY
3105 SSCL:pdu/<-:REGISTER
3106 SSCL:pdu/UNKNOWN_PDU
3200 SMS:pdu/->:RP_DATA
3201 SMS:pdu/->:RP_ACK
3202 SMS:pdu/->:RP_ERROR
3203 SMS:pdu/->:RP_SMMA
3204 SMS:pdu/->:TR1M_TIMEOUT
3205 SMS:pdu/->:TRAM_TIMEOUT
3206 SMS:pdu/->:TR99_TIMEOUT
3207 SMS:pdu/->:TR2M_TIMEOUT
3208 SMS:pdu/->:CP_WAIT_TIMEOUT
3209 SMS:pdu/->:CB_SCHEDULE_TIMEOUT
320A SMS:pdu/->:TC1M_TIMEOUT
320B SMS:pdu/->:TC2M_TIMEOUT
320C SMS:pdu/->:CP_DATA
320D SMS:pdu/->:CP_ACK
320E SMS:pdu/->:CP_ERROR
320F SMS:pdu/<-:RP_DATA
3210 SMS:pdu/<-:RP_ACK
3211 SMS:pdu/<-:RP_ERROR
3212 SMS:pdu/<-:CP_DATA
3213 SMS:pdu/<-:CP_ACK
3214 SMS:pdu/<-:CP_ERROR
3215 SMS:pdu/<-:CP_PDU_ERROR
3216 SMS:pdu/<-:CP_PDU_NEW_TRAN_ID
3217 SMS:pdu/UNKNOWN_PDU
3300 CS:trans/TRANSITION_TO
3400 L2:trans/TRANSITION_TO
3500 RR:trans/TRANSITION_TO
3600 CC:trans/TRANSITION_TO
3700 RM_CTRL:trans/TRANSITION_TO
3800 MM:trans/TRANSITION_TO
3900 SSCL:trans/TRANSITION_TO
3A00 SSCL_MO:trans/unused
3B00 SSCL_MT:trans/unused
3C00 SMRL:trans/unused
4700 L1:PLMN_info/PLMN_PTR
4701 L1:PLMN_info/M88_PLMN_MEAS_PLMN_OK
4702 L1:PLMN_info/M105_PLMN_MEAS_PLMN_OK
4703 L1:PLMN_info/M92_PLMN_C1
4704 L1:PLMN_info/M94_SEL_PLMN_FOUND
4705 L1:PLMN_info/M88_PLMN_MEAS_SYSPAR_OK
4706 L1:PLMN_info/M94_PLMN_MEAS_SYSPAR_OK
4707 L1:PLMN_info/M86_PLMN_MEAS_NO_PSW
4708 L1:PLMN_info/M86_PLMN_MEAS_BCCH_DONE
4709 L1:PLMN_info/M87_PLMN_MEAS_BCCH_DONE
470A L1:PLMN_info/M88_PLMN_MEAS_BCCH_DONE
470B L1:PLMN_info/M93_PLMN_MEAS_BCCH_DONE
470C L1:PLMN_info/I_L1_M94_SEL_PLMN_FOUND
470D L1:PLMN_info/M102_PLMN_MEAS_BCCH_DONE
470E L1:PLMN_info/M105_PLMN_MEAS_BCCH_DONE
470F L1:PLMN_info/M_EEPROM_PLMN_SELECTED
4710 L1:PLMN_info/M82_PSW_RESULT_RECEIVED
4711 L1:PLMN_info/M83_SORTED_RSSIS
4712 L1:PLMN_info/M83_SORTED_CARR_LIST
4713 L1:PLMN_info/M86_SAVED_CARRIERS_UPDATED
4714 L1:PLMN_info/M88_NSYSPARS_RECEIVED
4715 L1:PLMN_info/M88_CORRUPTED_SYSPAR
4716 L1:PLMN_info/M105_NSYSPARS_RECEIVED
4717 L1:PLMN_info/E_L1_M82_UNKNOWN_TIMING_OFFSET
4800 L1:NMEAS_info/MEAS_INSTR_SENDED
4801 L1:NMEAS_info/MEAS_REQ_STATE_UPDATED
4802 L1:NMEAS_info/M27_MEAS_REQ_DISCARDED
4803 L1:NMEAS_info/M28_MEAS_INITED_FOR_NEIGH
4804 L1:NMEAS_info/M29_MEAS_INITED_FOR_NEIGH
4805 L1:NMEAS_info/M9_NSYSPARS_RECEIVED
4806 L1:NMEAS_info/M9_NSYSPARS_RERECEIVED
4807 L1:NMEAS_info/M18_NLIST_CHANGED
4808 L1:NMEAS_info/M25_SYNC_PERIOD_STARTED
4809 L1:NMEAS_info/M26_SYSPAR_PERIOD_STARTED
480A L1:NMEAS_info/M27_NO_NEIGHBOURS
